,NDBI,MNDWI,NDWI,NDVI,SAVI,population_count,LST,season_autumn,season_spring,season_summer,season_winter
NDBI,1.0,-0.5503746249402008,0.3594876625444521,-0.4284392307278986,-0.42843930286632076,0.1374672000151224,0.17647360445772822,0.11217917551763593,0.08983495773677766,-0.21407932386485984,0.015700615146109625
MNDWI,-0.5503746249402008,1.0,0.5808652362714198,-0.5076717174333457,-0.5076716516684423,0.05834793312525014,-0.5938497753574475,-0.04426105925417988,-0.11157134558286025,-0.16349026329682523,0.38271003681040544
NDWI,0.3594876625444521,0.5808652362714198,1.0,-0.9840451257054795,-0.984045113563174,0.2007824011219125,-0.49347318995399747,0.05903795007183591,-0.03820002273042048,-0.38754112469614194,0.4406760968776584
NDVI,-0.4284392307278986,-0.5076717174333457,-0.9840451257054795,1.0,0.9999999999918069,-0.20997693922055624,0.4615095237023057,-0.0656188612167242,0.037619986841716364,0.3896619024391264,-0.4345778141832714
SAVI,-0.42843930286632076,-0.5076716516684423,-0.984045113563174,0.9999999999918069,1.0,-0.20997655121313796,0.46151011220864047,-0.06561985287354488,0.03762030627653385,0.3896623871868963,-0.4345775761871398
population_count,0.1374672000151224,0.05834793312525014,0.2007824011219125,-0.20997693922055624,-0.20997655121313796,1.0,0.0819301510579113,-0.005957135341267713,0.007320335870719535,-0.005850122070445036,0.005587348840487848
LST,0.17647360445772822,-0.5938497753574475,-0.49347318995399747,0.4615095237023057,0.46151011220864047,0.0819301510579113,1.0,-0.05782001433735536,0.138534382813089,0.5072253741464084,-0.7051959732237193
season_autumn,0.11217917551763593,-0.04426105925417988,0.05903795007183591,-0.0656188612167242,-0.06561985287354488,-0.005957135341267713,-0.05782001433735536,1.0,-0.38080361518452543,-0.39525576397411966,-0.283213396604616
season_spring,0.08983495773677766,-0.11157134558286025,-0.03820002273042048,0.037619986841716364,0.03762030627653385,0.007320335870719535,0.138534382813089,-0.38080361518452543,1.0,-0.3766440027829845,-0.2698774744393397
season_summer,-0.21407932386485984,-0.16349026329682523,-0.38754112469614194,0.3896619024391264,0.3896623871868963,-0.005850122070445036,0.5072253741464084,-0.39525576397411966,-0.3766440027829845,1.0,-0.2801197863818607
season_winter,0.015700615146109625,0.38271003681040544,0.4406760968776584,-0.4345778141832714,-0.4345775761871398,0.005587348840487848,-0.7051959732237193,-0.283213396604616,-0.2698774744393397,-0.2801197863818607,1.0
